,Serial No,Star_name,Distance,Mass,Radius,Discovery Year,Constellation,,Star_name,Distance,Mass,Radius,Luminosity
0,0,SDSS J000013.54+255418.6,46.1,4.932624,0.0009450421200000001,2004.0,Pegasus,0,Sun,0.000015813,1,1,1
10,10,2MASS 0036,28.6,4.316046,0.00089731272,2000.0,Pisces,1,Sirius,0008.6,2.1,1.71´,25.4
29,29,2MASS J02431371−24,35.0,3.3911789999999997,0.0009450421200000001,2002.0,Fornax,2,Canopus,0310,15,71,"13,500"
32,32,Teegarden's,12.578,8.221039999999999,0.0012123267600000001,2003.0,Aries,3,Alpha Centauri,0004.4,1.1,1.2,2
35,35,DEN 0255,16.2,8.221039999999999,0.00092595036,2006.0,Eridanus,4,Arcturus,0037,1.1,26,170
36,36,2MASS J03185403-3421292,45.0,5.035387,0.00092595036,2008.0,Fornax,5,Vega,0025,2.2,2.7,50
40,40,2MASS J03264225-2102057,80.0,1.8497339999999998,0.0012409644000000001,2003.0,Eridanus,6,Capella,0043,2.6,12,150
41,41,2MASS J03284265+2302051,98.0,5.549201999999999,0.00093549624,2000.0,Taurus,7,Rigel,0860,23,78.9,"120,000"
45,45,Te,380.0,5.651965,0.00360834264,1995.0,Taurus,8,Procyon,0011.4,1.5,1.9,7.7
47,47,2MASS J03552337+11,29.8,2.0552599999999996,0.00126005616,2006.0,Taurus,9,Betelgeuse,0640[1],20,950,"60,000"
49,49,2MASS J04151954−09,18.6,3.08289,0.0009068586,2002.0,Eridanus,10,Achernar,0144,6.7,9.3,"3,000"
51,51,2MASS J04285096-2253227,85.0,8.221039999999999,0.0010405009200000002,2003.0,Eridanus,11,Hadar,0390,10.5,8.6,"42,000"
54,54,2MASS J04390101-2353083,29.5,4.932624,0.00092595036,2003.0,Eridanus,12,Altair,0017,1.8,1.8,10.5
57,57,2MASS J04455387-3048204,42.0,6.576832,0.000954588,2003.0,Caelum,13,Acrux,0320,18,8.9,"25,000"
58,58,2MASS J04510093-3402150,69.0,0.10687352,0.068730336,2003.0,Caelum,14,Aldebaran,0065,1.5,44,520
59,59,2MASS J05002100+0330501,44.0,6.576832,0.000954588,2008.0,Orion,15,Antares,0600,12,680,"75,000"
60,60,2MASS J05012406-0010452,64.0,2.158023,0.00131733144,2008.0,Orion,16,Spica,0260,11.43,7.47,"20,512"
61,61,2MASS J05160945-0445499,73.0,4.829860999999999,0.00092595036,2003.0,Orion,17,Pollux,0034,1.9,8.8,43
66,66,LSR 0602+3910,34.6,2.877364,0.00134596908,2003.0,Auriga,18,Fomalhaut,0025,1.9,1.8,16.6
70,70,2MASS J06244595-4521548,39.0,5.754728,0.0009450421200000001,2008.0,Puppis,19,Deneb,"2,600",19,203,"200,000"
71,71,2MASS J06411840-4322329,65.0,6.885121,0.00096413388,2008.0,Puppis,20,Mimosa,0350,16,8.4,"34,000"
72,72,DENIS-P J0652197-253450,51.0,7.707224999999999,0.0010023174,2008.0,Canis Major,21,Regulus,0077,3.8,3.1,290
75,75,UGPS J072227.51-054,13.4,2.6718379999999997,0.00093549624,2010.0,Monoceros,22,Adhara,0430,12.5,14,"39,000"
76,76,2MASSI J0727182+171001,29.6,4.213283,0.00089731272,2002.0,Gemini,23,Shaula,0700,14.5,8.8,"36,000"
77,77,2MASS J07290002-3954043,25.8,3.802231,0.00089731272,2007.0,Puppis,24,Castor,0052,2.8,2.4,30
78,78,SDSS J074201.41+205520.5,49.0,4.4188089999999995,0.00089731272,2004.0,Gemini,25,Gacrux,0088,1.5,84,820
